period,currency,usd_rate_avg
2019-Q4,ARS,59.366261
2019-Q4,GTQ,7.718796
2019-Q4,UYU,37.492154
2019-Q4,CRC,575.34107
2019-Q4,DOP,52.842633
2019-Q4,PEN,3.362217
2019-Q4,MXN,19.260137
2019-Q4,CLP,755.984258
2020-Q1,COP,3544.466949
2020-Q1,ARS,61.529033
2020-Q1,GTQ,7.6775
2020-Q1,UYU,39.565308
2020-Q1,CRC,570.829854
2020-Q1,DOP,53.4059
2020-Q1,PEN,3.358857
2020-Q1,MXN,20.00298
2020-Q1,CLP,802.800894
2020-Q2,COP,3850.03
2020-Q2,ARS,67.646352
2020-Q2,GTQ,7.70111
2020-Q2,UYU,43.230385
2020-Q2,CRC,572.110233
2020-Q2,DOP,55.842867
2020-Q2,PEN,3.429606
2020-Q2,MXN,23.337543
2020-Q2,CLP,822.967469
2020-Q3,COP,3730.666129
2020-Q3,ARS,73.25087
2020-Q3,GTQ,7.719042
2020-Q3,UYU,42.713615
2020-Q3,CRC,590.966774
2020-Q3,DOP,58.4331
2020-Q3,PEN,3.540248
2020-Q3,MXN,22.092262
2020-Q3,CLP,780.931126
2020-Q4,COP,3660.927288
2020-Q4,ARS,80.032826
2020-Q4,GTQ,7.790502
2020-Q4,UYU,42.634769
2020-Q4,CRC,605.696559
2020-Q4,DOP,58.416267
2020-Q4,PEN,3.601998
2020-Q4,MXN,20.550579
2020-Q4,CLP,761.961635
2021-Q1,COP,3562.135
2021-Q1,ARS,88.547667
2021-Q1,GTQ,7.752138
2021-Q1,UYU,43.108077
2021-Q1,CRC,611.264626
2021-Q1,DOP,57.9517
2021-Q1,PEN,3.659334
2021-Q1,MXN,20.33874
2021-Q1,CLP,724.182862
2021-Q2,COP,3695.272034
2021-Q2,ARS,94.028242
2021-Q2,GTQ,7.723246
2021-Q2,UYU,43.921385
2021-Q2,CRC,615.382111
2021-Q2,DOP,57.0875
2021-Q2,PEN,3.736499
2021-Q2,MXN,20.009943
2021-Q2,CLP,715.549746
2021-Q3,COP,3847.456613
2021-Q3,ARS,97.208043
2021-Q3,GTQ,7.738517
2021-Q3,UYU,43.275385
2021-Q3,CRC,621.377079
2021-Q3,DOP,57.046667
2021-Q3,PEN,4.023764
2021-Q3,MXN,20.021368
2021-Q3,CLP,771.298283
2021-Q4,COP,3883.45678
2021-Q4,ARS,100.473696
2021-Q4,GTQ,7.729399
2021-Q4,UYU,44.011857
2021-Q4,CRC,635.115064
2021-Q4,DOP,56.7986
2021-Q4,PEN,4.017323
2021-Q4,MXN,20.737531
2021-Q4,CLP,825.232389
2022-Q1,COP,3908.490339
2022-Q1,ARS,106.560667
2022-Q1,GTQ,7.698713
2022-Q1,UYU,43.292167
2022-Q1,CRC,643.693458
2022-Q1,DOP,56.5786
2022-Q1,PEN,3.806289
2022-Q1,MXN,20.496221
2022-Q1,CLP,809.43513
2022-Q2,COP,3919.348333
2022-Q2,ARS,117.874505
2022-Q2,GTQ,7.689085
2022-Q2,UYU,40.552923
2022-Q2,CRC,673.5549
2022-Q2,DOP,55.1736
2022-Q2,PEN,3.748142
2022-Q2,MXN,20.035001
2022-Q2,CLP,840.760833
2022-Q3,COP,4384.343065
2022-Q3,ARS,135.508261
2022-Q3,GTQ,7.756595
2022-Q3,UYU,40.8515
2022-Q3,CRC,661.007511
2022-Q3,DOP,54.040667
2022-Q3,PEN,3.88799
2022-Q3,MXN,20.242708
2022-Q3,CLP,926.355321
2022-Q4,COP,4811.555789
2022-Q4,ARS,162.180652
2022-Q4,GTQ,7.849802
2022-Q4,UYU,39.926077
2022-Q4,CRC,610.287402
2022-Q4,DOP,54.7711
2022-Q4,PEN,3.895066
2022-Q4,MXN,19.684587
2022-Q4,CLP,916.203008
2023-Q1,COP,4754.554746
2023-Q1,ARS,192.327111
2023-Q1,GTQ,7.828945
2023-Q1,UYU,39.179154
2023-Q1,CRC,563.788546
2023-Q1,DOP,55.986767
2023-Q1,PEN,3.806197
2023-Q1,MXN,18.681422
2023-Q1,CLP,811.365709
2023-Q2,COP,4424.274483
2023-Q2,ARS,231.74
2023-Q2,GTQ,7.815429
2023-Q2,UYU,38.558
2023-Q2,CRC,541.091007
2023-Q2,DOP,54.9049
2023-Q2,PEN,3.708329
2023-Q2,MXN,17.686321
2023-Q2,CLP,800.781599
2023-Q3,COP,4044.646667
2023-Q3,ARS,312.129912
2023-Q3,GTQ,7.858772
2023-Q3,UYU,37.980769
2023-Q3,CRC,540.016342
2023-Q3,DOP,56.599633
2023-Q3,PEN,3.675769
2023-Q3,MXN,17.063371
2023-Q3,CLP,851.153457
2023-Q4,COP,4070.235614
2023-Q4,ARS,448.492991
2023-Q4,GTQ,7.832143
2023-Q4,UYU,39.519923
2023-Q4,CRC,531.307206
2023-Q4,DOP,57.1391
2023-Q4,PEN,3.779991
2023-Q4,MXN,17.556869
2023-Q4,CLP,895.875692
2024-Q1,COP,3921.556207
2024-Q1,ARS,853.32967
2024-Q1,GTQ,7.811271
2024-Q1,UYU,38.812923
2024-Q1,CRC,513.842525
2024-Q1,DOP,58.971033
2024-Q1,PEN,3.758891
2024-Q1,MXN,16.987318
2024-Q1,CLP,946.4539
2024-Q2,COP,3924.227288
2024-Q2,ARS,904.752747
2024-Q2,GTQ,7.770835
2024-Q2,UYU,38.800385
2024-Q2,CRC,513.20555
2024-Q2,DOP,59.079067
2024-Q2,PEN,3.748895
2024-Q2,MXN,17.269731
2024-Q2,CLP,934.698793
2024-Q3,COP,4094.898167
2024-Q3,ARS,961.190217
2024-Q3,GTQ,7.740886
2024-Q3,UYU,40.529
2024-Q3,CRC,522.66597
2024-Q3,DOP,59.7144
2024-Q3,PEN,3.75798
2024-Q3,MXN,18.950331
2024-Q3,CLP,931.22353
2024-Q4,COP,4347.314918
2024-Q4,ARS,1021.130435
2024-Q4,GTQ,7.716555
2024-Q4,UYU,42.662692
2024-Q4,CRC,510.725043
2024-Q4,DOP,60.496033
2024-Q4,PEN,3.755779
2024-Q4,MXN,20.093975
2024-Q4,CLP,962.569424
2025-Q1,COP,4185.534828
2025-Q1,ARS,1076.155556
2025-Q1,GTQ,7.711984
2025-Q1,UYU,43.033385
2025-Q1,CRC,504.561609
2025-Q1,DOP,62.349467
2025-Q1,PEN,3.700173
2025-Q1,MXN,20.431672
2025-Q1,CLP,963.311847
2025-Q2,COP,4200.682414
2025-Q2,ARS,1167.934066
2025-Q2,GTQ,7.686828
2025-Q2,UYU,41.638231
2025-Q2,CRC,505.683595
2025-Q2,DOP,59.839533
2025-Q2,PEN,3.651802
2025-Q2,MXN,19.519251
2025-Q2,CLP,947.002214
2025-Q3,COP,4005.551803
2025-Q3,ARS,1347.608696
2025-Q3,GTQ,7.664519
2025-Q3,UYU,40.086846
2025-Q3,CRC,504.57505
2025-Q3,DOP,61.988967
2025-Q3,PEN,3.534073
2025-Q3,MXN,18.64026
2025-Q3,CLP,959.407
2025-Q4,COP,3823.67322
2025-Q4,ARS,1462.826087
2025-Q4,GTQ,7.656351
