country,raw_table,source_entity_code,source_entity_name,row_count,canonical_entity_name,notes
AR,ar_raw_balance,820,BIND SEGUROS S.A,4558,Bind Seguros,
AR,ar_raw_solvencia,,BONACORSI,6,Bonacorsi,
AR,ar_raw_balance,573,BONACORSI  SEGUROS DE PERSONAS S.A.,5139,Bonacorsi Seguros de Personas,
AR,ar_raw_solvencia,,BONACORSI PERSONAS,2,Bonacorsi Seguros de Personas,
AR,ar_raw_solvencia,,BOSTON,5,Boston Argentina,
AR,ar_raw_balance,32,BOSTON COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANONIMA,84764,Boston Argentina,
AR,ar_raw_solvencia,,BRADESCO,2,Bradesco Argentina,
AR,ar_raw_balance,148,BRADESCO ARGENTINA DE SEGUROS S.A.,10561,Bradesco Argentina,
AR,ar_raw_solvencia,,CAJA DE PREVISIÓN,1,Caja de Previsión y Seguro Médico,
AR,ar_raw_balance,721,CAJA DE PREVISIÓN Y SEGURO MÉDICO DE LA PROVINCIA DE BS.AS,9751,Caja de Previsión y Seguro Médico,
AR,ar_raw_balance,501,CAJA DE SEGUROS S.A.,62712,Caja de Seguros,
AR,ar_raw_solvencia,,CAJA DE TUCUMÁN,8,Caja Popular de Tucumán,
AR,ar_raw_solvencia,,CAJA GENERALES,8,Caja de Seguros,
AR,ar_raw_balance,259,CAJA POPULAR DE AHORROS DE LA PROVINCIA DE TUCUMAN,14672,Caja Popular de Tucumán,
AR,ar_raw_solvencia,,CALEDONIA,6,Caledonia Argentina,
AR,ar_raw_balance,57,CALEDONIA ARGENTINA COMPAÑIA DE SEGUROS SOCIEDAD ANONIMA,44253,Caledonia Argentina,
AR,ar_raw_solvencia,,CAMINOS PROTEGIDOS,5,Caminos Protegidos,
AR,ar_raw_balance,7,CAMINOS PROTEGIDOS  COMPAÑÍA DE SEGUROS S.A.,49792,Caminos Protegidos,
AR,ar_raw_solvencia,,CARDIF,4,Cardif Argentina,
AR,ar_raw_balance,671,CARDIF SEGUROS S.A.,42753,Cardif Argentina,
AR,ar_raw_solvencia,,CARUSO,8,Caruso,
AR,ar_raw_balance,406,CARUSO COMPAÑÍA ARGENTINA DE SEGUROS SOCIEDAD ANÓNIMA,15482,Caruso,
AR,ar_raw_solvencia,,CERTEZA,8,Certeza,
AR,ar_raw_balance,491,CERTEZA COMPAÑIA DE SEGUROS S.A.,15531,Certeza,
AR,ar_raw_solvencia,,CESCE,7,Cesce Argentina,
AR,ar_raw_balance,404,CESCE ARGENTINA S.A. SEGUROS DE CREDITO Y  GARANTÍAS,23652,Cesce Argentina,
AR,ar_raw_solvencia,,CHUBB SEGUROS,8,Chubb Argentina,
AR,ar_raw_balance,275,CHUBB SEGUROS ARGENTINA S.A.,151109,Chubb Argentina,
AR,ar_raw_solvencia,,CNP,8,CNP Assurances Argentina,
AR,ar_raw_balance,576,CNP ASSURANCES COMPAÑIA DE SEGUROS S.A.,29860,CNP Assurances Argentina,
AR,ar_raw_solvencia,,COFACE,7,Coface Argentina,
AR,ar_raw_solvencia,,COLON,5,Colón,
AR,ar_raw_balance,861,COLON COMPAÑÍA DE SEGUROS SOCIEDAD ANONIMA,30021,Colón,
AR,ar_raw_solvencia,,COLÓN,3,Colón,
AR,ar_raw_solvencia,,COMARSEG,8,Comarseg,
AR,ar_raw_balance,809,COMARSEG COMPAÑIA ARGENTINA DE SEGUROS S.A.,7034,Comarseg,
AR,ar_raw_balance,686,COMPAGNIE FRANCAISE D´ASSURANCE POUR LE COMMERCE EXTERIEUR (SUCURSAL ARGENTINA),28596,Coface Argentina,
AR,ar_raw_balance,412,COMPAÑIA ARGENTINA DE SEGUROS LATITUD SUR SOCIEDAD ANONIMA,42012,Latitud Sur,
AR,ar_raw_balance,64,COMPAÑIA ARGENTINA DE SEGUROS VICTORIA SOCIEDAD ANONIMA,30455,Victoria,
AR,ar_raw_balance,227,COMPAÑIA DE SEGUROS EUROAMERICA S.A.,25140,Euroamérica,
AR,ar_raw_balance,780,COMPAÑIA DE SEGUROS INSUR S.A.,10844,Insur Argentina,
AR,ar_raw_balance,116,COMPAÑIA DE SEGUROS LA MERCANTIL ANDINA SOCIEDAD ANONIMA,61586,La Mercantil Andina,
AR,ar_raw_balance,830,COMPAÑIA REASEGURADORA DEL SUR S.A.,147,Aseguradora del Sur,
AR,ar_raw_balance,830,COMPAÑÍA ASEGURADORA DEL SUR S.A.,4623,Aseguradora del Sur,
AR,ar_raw_balance,822,COMPAÑÍA DE SEGUROS DE JUJUY SOCIEDAD DEL ESTADO,6679,Compañía de Seguros de Jujuy,
AR,ar_raw_balance,141,COMPAÑÍA DE SEGUROS EL NORTE SOCIEDAD ANONIMA,78698,El Norte,
AR,ar_raw_balance,432,COMPAÑÍA DE SEGUROS MAÑANA SOCIEDAD ANÓNIMA,10324,Mañana,
AR,ar_raw_balance,136,COMPAÑÍA MERCANTIL ASEGURADORA SOCIEDAD ANONIMA ARGENTINA DE SEGUROS,5222,Compañía Mercantil Aseguradora,
AR,ar_raw_balance,880,CONFIAR COMPAÑÍA DE SEGUROS SOCIEDAD ANONIMA,1620,Experta,
AR,ar_raw_solvencia,,CONFLUENCIA,8,Confluencia,
AR,ar_raw_balance,821,CONFLUENCIA COMPAÑIA DE SEGUROS S.A.,137247,Confluencia,
AR,ar_raw_solvencia,,COOP. MUTUAL PATRONAL,6,Cooperación Mutual Patronal,
AR,ar_raw_balance,196,COOPERACION MUTUAL PATRONAL SOCIEDAD MUTUAL DE SEGUROS GENERALES,39666,Cooperación Mutual Patronal,
AR,ar_raw_balance,388,COOPERATIVA DE SEGUROS LUZ Y FUERZA LIMITADA,25556,Cooperativa Luz y Fuerza,
AR,ar_raw_solvencia,,COPAN,8,COPAN,
AR,ar_raw_balance,248,COPAN COOPERATIVA DE SEGUROS LIMITADA,30614,COPAN,
AR,ar_raw_solvencia,,COSENA,5,COSENA,
AR,ar_raw_balance,725,COSENA SEGUROS S.A.,7095,COSENA,
AR,ar_raw_balance,604,CREDICOOP COMPAÑIA DE SEGUROS DE RETIRO S.A.,22351,Credicoop Seguros de Retiro,
AR,ar_raw_solvencia,,CREDICOOP RETIRO,3,Credicoop Seguros de Retiro,
AR,ar_raw_balance,656,CREDITO Y CAUCION S.A. COMPAÑÍA DE SEGUROS,7836,Crédito y Caución,
AR,ar_raw_solvencia,,CRUZ SUIZA,4,Cruz Suiza,
AR,ar_raw_balance,553,CRUZ SUIZA COMPAÑÍA DE SEGUROS S.A.,10686,Cruz Suiza,
AR,ar_raw_solvencia,,CRÉDITO Y CAUCIÓN,8,Crédito y Caución,
AR,ar_raw_solvencia,,CRÉDITOS Y GARANTÍAS,6,Créditos y Garantías,
AR,ar_raw_solvencia,,DIGNA,8,Digna,
AR,ar_raw_balance,872,DIGNA SEGUROS S.A.,17109,Digna,
